"";"game_id";"half_elapsed";"type";"cards"
"212";1804;85;"goal";NA
"213";1804;95;"goal";NA
"214";1805;6;"goal";NA
"215";1805;27;"goal";NA
"216";1806;9;"goal";NA
"217";1806;21;"goal";NA
"218";1807;39;"goal";NA
"219";1807;58;"goal";NA
"220";1808;79;"goal";NA
"221";1808;82;"goal";NA
"222";1808;84;NA;"r"
"223";1808;85;"goal";NA
"224";1809;12;"goal";NA
"225";1809;22;"goal";NA
"226";1809;24;"goal";NA
"227";1809;32;"goal";NA
"228";1810;22;"goal";NA
"229";1810;24;"goal";NA
"230";1810;40;"goal";NA
"231";1810;47;"goal";NA
"232";1811;54;"goal";NA
"233";1812;17;"goal";NA
"234";1812;25;"goal";NA
"235";1812;40;"goal";NA
"236";1812;67;"goal";NA
"237";1812;78;"goal";NA
"238";1812;86;"goal";NA
"239";1813;17;"goal";NA
"240";1813;29;"goal";NA
"241";1814;92;"goal";NA
"242";1815;52;"goal";NA
"243";1815;77;"goal";NA
"244";1815;89;"goal";NA
"245";1817;10;"goal";NA
"246";1817;12;"goal";NA
"247";1817;77;"goal";NA
"248";1818;33;"goal";NA
"249";1818;51;"goal";NA
"250";1819;1;"goal";NA
"251";1820;24;"goal";NA
"252";1820;42;"goal";NA
"253";1820;62;NA;"y2"
"254";1821;78;"goal";NA
"255";1822;35;NA;"r"
"256";1822;84;"goal";NA
"257";1823;12;"goal";NA
"258";1823;29;"goal";NA
"259";1823;90;"goal";NA
"260";1824;9;"goal";NA
"261";1824;18;"goal";NA
"262";1824;27;"goal";NA
"263";1825;41;"goal";NA
"264";1825;54;"goal";NA
"265";1825;59;"goal";NA
"266";1826;1;"goal";NA
"267";1826;3;"goal";NA
"268";1826;20;"goal";NA
"269";1827;69;"goal";NA
"270";1827;77;"goal";NA
"271";1827;84;"goal";NA
"272";1827;93;"goal";NA
"273";1828;10;"goal";NA
"274";1828;19;"goal";NA
"275";1828;73;"goal";NA
"276";1828;78;"goal";NA
"277";1828;81;NA;"y2"
"278";1828;84;"goal";NA
"279";1828;91;"goal";NA
"280";1829;26;"goal";NA
"281";1829;53;"goal";NA
"282";1829;58;"goal";NA
"283";1830;47;"goal";NA
"284";1832;40;"goal";NA
"285";1832;49;"goal";NA
"286";1832;64;"goal";NA
"287";1832;91;"goal";NA
"288";1833;10;"goal";NA
"289";1833;51;"goal";NA
"290";1834;15;"goal";NA
"291";1834;27;"goal";NA
"292";1834;28;"goal";NA
"293";1834;36;"goal";NA
"294";1834;80;"goal";NA
"295";1834;82;"goal";NA
"296";1835;8;"goal";NA
"297";1835;20;"goal";NA
"298";1835;47;"goal";NA
"299";1835;67;"goal";NA
"300";1835;70;"goal";NA
"301";1835;83;"goal";NA
"302";1836;72;NA;"y2"
"303";1836;83;"goal";NA
"304";1837;29;"goal";NA
"305";1837;72;NA;"r"
"306";1837;73;"goal";NA
"307";1837;88;"goal";NA
"308";1838;3;"goal";NA
"309";1838;47;"goal";NA
"310";1839;70;"goal";NA
"311";1839;85;"goal";NA
"312";1839;95;"goal";NA
"313";1840;56;"goal";NA
"314";1840;74;"goal";NA
"315";1840;83;"goal";NA
"316";1841;72;"goal";NA
"317";1842;38;NA;"y2"
"318";1842;65;"goal";NA
"319";1842;71;"goal";NA
"320";1842;76;"goal";NA
"321";1843;39;"goal";NA
"322";1843;40;"goal";NA
"323";1844;21;"goal";NA
"324";1845;64;"goal";NA
"325";1845;65;"goal";NA
"326";1845;76;"goal";NA
"327";1845;89;"goal";NA
"328";1846;33;"goal";NA
"329";1847;29;"goal";NA
"330";1847;63;"goal";NA
"331";1847;81;"goal";NA
"332";1847;84;"goal";NA
"333";1847;95;"goal";NA
"334";1848;4;"goal";NA
"335";1849;69;"goal";NA
"336";1850;81;"goal";NA
"337";1851;4;"goal";NA
"338";1851;51;"goal";NA
"339";1851;53;NA;"r"
"340";1851;87;"goal";NA
"341";1852;10;"goal";NA
"342";1852;27;"goal";NA
"343";1852;83;"goal";NA
"344";1853;31;"goal";NA
"345";1853;34;"goal";NA
"346";1853;36;"goal";NA
"347";1853;46;"goal";NA
"348";1853;50;"goal";NA
"349";1853;66;"goal";NA
"350";1853;75;"goal";NA
"351";1853;79;"goal";NA
"352";1854;46;"goal";NA
"353";1854;84;"goal";NA
"354";1854;88;"goal";NA
"355";1854;94;"goal";NA
"356";1855;10;"goal";NA
"357";1855;50;"goal";NA
"358";1855;72;"goal";NA
"359";1855;89;"goal";NA
"360";1856;44;"goal";NA
"361";1857;35;NA;"r"
"362";1857;83;"goal";NA
"363";1857;94;"goal";NA
"364";1858;88;"goal";NA
"365";1859;47;"goal";NA
"366";1859;63;"goal";NA
"367";1859;87;"goal";NA
"368";1860;84;"goal";NA
"369";1861;19;"goal";NA
"370";1861;41;"goal";NA
"371";1861;49;"goal";NA
"372";1862;18;"goal";NA
"373";1862;46;"goal";NA
"374";1863;45;"goal";NA
"375";1863;82;"goal";NA
"376";1864;19;"goal";NA
"377";1864;29;"goal";NA
"378";1864;55;"goal";NA
"379";1864;78;"goal";NA
"380";1865;2;"goal";NA
"381";1865;69;"goal";NA
"382";1865;85;"goal";NA
"383";1866;70;"goal";NA
"384";1866;75;"goal";NA
"385";1867;31;"goal";NA
"386";1868;91;"goal";NA
"387";1869;68;"goal";NA
"388";1869;87;"goal";NA
"389";1870;11;"goal";NA
"390";1870;60;"goal";NA
"391";1870;80;"goal";NA
"392";1871;59;"goal";NA
"393";1871;70;"goal";NA
"394";1872;7;"goal";NA
"395";1872;22;"goal";NA
"396";1872;50;"goal";NA
"397";1872;60;"goal";NA
"398";1872;76;"goal";NA
"399";1873;53;"goal";NA
"400";1873;54;NA;"r"
"401";1874;61;"goal";NA
"402";1874;66;"goal";NA
"403";1874;83;NA;"y2"
"404";1874;86;"goal";NA
"405";1875;90;"goal";NA
"406";1876;4;"goal";NA
"407";1876;54;"goal";NA
"408";1876;62;NA;"r"
"409";1876;67;"goal";NA
"410";1877;29;"goal";NA
"411";1877;65;"goal";NA
"412";1877;82;"goal";NA
"413";1877;86;"goal";NA
"414";1878;60;"goal";NA
"415";1878;88;"goal";NA
"416";1878;94;"goal";NA
"417";1879;55;"goal";NA
"418";1880;8;"goal";NA
"419";1880;21;"goal";NA
"420";1880;25;"goal";NA
"421";1880;57;"goal";NA
"422";1881;22;"goal";NA
"423";1881;33;"goal";NA
"424";1881;51;"goal";NA
"425";1882;22;"goal";NA
"426";1882;40;NA;"r"
"427";1882;44;"goal";NA
"428";1882;53;"goal";NA
"429";1882;60;"goal";NA
"430";1882;65;"goal";NA
"431";1882;73;"goal";NA
"432";1883;21;"goal";NA
"433";1883;71;NA;"y2"
"434";1884;41;"goal";NA
"435";1884;83;"goal";NA
"436";1885;61;"goal";NA
"437";1885;92;"goal";NA
"438";1886;17;"goal";NA
"439";1886;77;"goal";NA
"440";1886;81;"goal";NA
"441";1887;15;"goal";NA
"442";1887;35;"goal";NA
"443";1887;66;"goal";NA
"444";1887;70;"goal";NA
"445";1887;87;"goal";NA
"446";1888;58;"goal";NA
"447";1888;80;"goal";NA
"448";1889;44;"goal";NA
"449";1891;60;NA;"r"
"450";1891;89;"goal";NA
"451";1891;94;"goal";NA
"452";1894;32;"goal";NA
